Study GUID,Reference,,,,,,,
CG10ST88,"Hughes CE, Johnson CC, Bamberger DM, Reinhardt JF, Peterson LR, Mulligan ME, Gerding DN, George WL, Finegold SM (1987) Treatment and long-term follow-up of foot infections in patients with diabetes or ischemia: a randomized, prospective, double-blind comparison of cefoxitin and ceftizoxime. Clinical Therapeutics 10: 3649.",,,,,,,
CG10ST89,"Hurwitz B, Goodman C, Yudkin J (1993) Prompting the clinical care of non-insulin dependent (Type II) diabetic patients in an inner city area: one model of community care. British Medical Journal 306: 62430.",,,,,,,
CG10ST90,"Hutchinson A, McIntosh A, Feder G, Home PD, et al (2000) Clinical Guidelines and Evidence Review for Type 2 Diabetes: Prevention and Management of Foot Problems London: Royal College of General Practitioners",,,,,,,
CG10ST91,"Incandela L, Belcaro G, Cesarone M R, De Sanctis M T, Griffin M, (2001) Microvascular alterations in diabetic microangiopathy: topical treatment with essaven gel. A placebo- controlled, randomized study. Angiology 52: S35-S41.",,,,,,,
CG10ST92,"Janssen H, Rooman R, Donecker P, Cauwenbergh G, Degreef H, Lapiere C, Roseeuw D, Dockx P, Bersaques J, Decroix J, Cuyper C, Karavani I, Janssen P (unpublished) Topical ketanserin accelerates the wound healing process in decubitus, arterial and diabetic skin ulcers.",,,,,,,
CG10ST93," Jensen J L, Seeley J, Gillin B, (1998) Diabetic foot ulcerations. A controlled, randomized comparison of two moist wound healing protocols: carrasyn hydrogel wound dressing and wet-to-moist saline gauze. Research Digest 11: 1-4.",,,,,,,
CG10ST94,"Kastenbauer T, Sauseng S, Sokol G, Auinger M, Irsigler K (2001) A prospective study of predictors for foot ulceration in type 2 diabetes. Journal of the American Podiatric Medical Association 91: 343-350.",,,,,,,
CG10ST95,"Klenerman L, McCabe C, Cogley D, Crerand S, Laing P, White M (1996) Screening for patients at risk of diabetic foot ulceration in a general diabetic outpatient clinic. Diabetic Medicine 13: 56163.",,,,,,,
CG10ST96,"Koblik T, Sieradzki J, Sendur R, Biernat J, Czarnobilski K, Gryz E, Pawlik W, Szczudlik A, Gaddi A (2001) The effect of insulin and sulodexide (Vessel Due F) on diabetic foot syndrome. Pilot study in elderly patients. Journal of Diabetes and its Complications 15:69-74.",,,,,,,
CG10ST97,"Kruger S, Guthrie D (1992) Foot care: knowledge retention and self-care practices. The Diabetes Educator 18(6): 48790.",,,,,,,
CG10ST98,"Kumar S, Ashe HA, Parnell LN, Fernando DJS, Tsigos C, Young RJ, Ward JD, Boulton AJM (1994) The prevalence of foot ulceration and its correlates in Type 2 diabetic patients: a population based study. Diabetic Medicine 11: 48084.",,,,,,,
CG10ST99,"Kumar S, Fernando DJS, Veves A, Knowles EA, Young MJ, Boulton AJM (1991) Semmes- Weinstein monofilaments: a simple, effective and inexpensive screening device for identifying diabetic patients at risk of foot ulceration. Diabetes Research and Clinical Practice 13: 6368.",,,,,,,
CG10ST100,"Laing W, Williams R (1989) Diabetes: a model for health care management. London: Office of Health Economics, No 2.",,,,,,,
CG10ST101,Leese B (1995a) Diabetes mellitus and the Saint Vincent declaration: the economic implications. Pharmaco Economics 7(4): 292307.,,,,,,,
CG10ST102,Leese B (1995b) Economic evaluations of Type II diabetes. Pharmaco Economics 8 (Suppl 1): 2327.,,,,,,,
CG10ST103,"Lehto S, Ronnemaa T, Pyorala K, Laakso M (1996) Risk factors predicting lower extremity amputations in patient with NIDDM. Diabetes Care 19: 607-612.",,,,,,,
CG10ST104,"Leslie C, Sapico F, Ginunas V, Adkins R (1988) Randomized controlled trial of topical hyperbaric oxygen for treatment of diabetic foot ulcers. Diabetes Care 11(2): 11115.",,,,,,,
CG10ST105,Levin ME (1987) Understanding your diabetic patient. Clinics in Podiatric Medicine and Surgery 4: 31530.,,,,,,,
CG10ST106,"Liniger C, Albeanu A, Assal J-P (1990a) Measuring diabetic neuropathy: low tech vs. high tech. Diabetes Care 13: 18081.",,,,,,,
CG10ST107,"Liniger C, Albeanu A, Bloise D, Assal J-P (1990b) The tuning fork revisited. Diabetic Medicine 7: 85964.",,,,,,,
CG10ST108,"Lipsky BA, Baker PD, Landon GC, Fernau R. (1996) Antibiotic therapy for diabetic foot infections: a comparison of two parenteral-to oral regimens. Clinical Infectious Diseases 24: 64348.",,,,,,,
CG10ST109,"Lipsky BA, Pecoraro RE, Larson SA, Hanley ME, Ahroni JH (1990) Outpatient management of uncomplicated lower-extremity infections in diabetic patients. Archives of Internal Medicine 150: 79097.",,,,,,,
CG10ST110,"Lishner M, Lang R, Kedar I, Ravid M (1985) Treatment of diabetic perforating ulcers (mal perforant) with local dimethylsulfoxide. Journal of the American Geriatrics Society 33: 41 43.",,,,,,,
CG10ST111,Lithner FG (1992) The diabetic foot: epidemiology and economic impact. IDF Bulletin 38: 79.,,,,,,,
CG10ST112,"Litzelman DK, Marriott DJ, Vinicor F (1997a) The role of footwear in the prevention of foot lesions in patients with NIDDM. Diabetes Care 20: 15662.",,,,,,,
CG10ST113,"Litzelman DK, Marriott DJ, Vinicor F (1997b) Independent physiological predictors of foot lesions in patients with NIDDM. Diabetes Care 20: 127278.",,,,,,,
CG10ST114,"Litzelman DK, Slemenda CW, Langefeld CD, Hays LM, Walch MA, Bild DE, et al (1993) Reduction of lower extremity clinical abnormalities in patients with non insulin dependent diabetes. Ann Intern Med 119: 3641.",,,,,,,
CG10ST115,"McCabe CJ, Stevenson RC, Dolan AM (1998) Evaluation of a diabetic foot screening and protection programme. Diabetic Medicine 15: 8084.",,,,,,,
CG10ST116,"McCormick A, Fleming D, Charlton J (1995) Morbidity statistics in general practice: fourth national study 1991-1992 series MB5 No 3. London HMSO.",,,,,,,
CG10ST117,"McKinnon, P. S., Paladino, J. A., Grayson, M. L., Gibbons, G. W., & Karchmer, A. W. (1997), Cost-effectiveness of ampicillin/sulbactam versus imipenem/cilastatin in the treatment of limb-threatening foot infections in diabetic patients""", Clinical Infectious Diseases, vol. 24, no. 1," pp. 57-63.""",,,
CG10ST118,"Majid M, Cullum N, Fletcher A, OMeara S, Sheldon T. Systematic review of interventions for the prevention and treatment of diabetic foot ulceration. Pre-Publication Copy. York: NHS Centre for Reviews and Dissemination.",,,,,,,
CG10ST119,"Malone JM, Snyder M, Anderson G, Bernhard VM, Holloway GA, Bunt TJ (1989) Prevention of amputation by diabetic education. American Journal of Surgery 158: 52024.",,,,,,,
CG10ST120,"Margolis DJ, Kantor J, Santanna J, Strom BL, Berlin JA, (2000) Risk factors for delayed healing of neuropathic diabetic foot ulcers. A pooled analysis. Arch Dermatol 136: 1531- 1535.",,,,,,,
CG10ST121,"Margolis DJ, Kantor J, Berlin JA, (1999) Healing of diabetic neuropathic foot ulcers receiving standard treatment. A meta-analysis. Diabetes Care 22: 692-695.",,,,,,,
CG10ST122,Marks L (1996) Counting the cost: the real impact of non-insulin dependent diabetes. London: Kings Fund Policy Institute.,,,,,,,
CG10ST123,"Martinez-de Jesus FR, Morales-Guzman M, Castaeda M, Perez-Morales A, Garcia-Alonso J, Mendiola-Segura I (1997) Randomised single-blind trial of topical ketanserin for healing acceleration of diabetic foot ulcers. Archives of Medical Research 28: 9599.",,,,,,,
CG10ST124,"Maser RE, Nielsen VK, Bass EB, Manjoo Q, Dorman JS, Kelsey SF, Becker DJ, Orchard MS (1989) Measuring diabetic neuropathy: assessment and comparison of clinical examination and quantitative sensory testing. Diabetes Care 12: 27075.",,,,,,,
CG10ST125,"Masson EA, Angle S, Roseman P, Soper C, Wilson I, Cotton M, Boulton AJM (1989) Diabetic foot ulcers: do patients know how to protect themselves? Practical Diabetes 6: 2225.",,,,,,,
CG10ST126,"Mayfield J A, Reiber G E, Nelson R G, Greene T, (2000) Do foot examinations reduce the risk of diabetic amputation? The Journal of Family Practice 49:499-504.",,,,,,,
CG10ST127,"Meijer J-W G, Van Sonderen E, Blaauwwiekel E E, Smit A J, Groothoff J W, Eisma W H, Links T P (2000) Diabetic Neuropathy Examination. A hierarchical scoring system to diagnose distal polyneuropathy in diabetes. Diabetes Care 23: 750-753.",,,,,,,
CG10ST128,"Morris A D, McAlpine R, Steinke D, Boyle D I R, Ebrahim A-R, Vasudev N, Stewart C P U, Jung R T, Leese G P, MacDonald T M, Newton R W, (1998) Diabetes and lower-limb amputations in the community. A retrospective cohort study. Diabetes Care 21: 738-743.",,,,,,,
CG10ST129,"Moss S E, Klein R, Klein B E K, (1999) The 14-year incidence of lower-extremity amputations in a diabetic population. The Wisconsin epidemiologic study of diabetic retinopathy. Diabetes Care 22: 951-959.",,,,,,,
CG10ST130,"Moss S E, Klein R, Klein B E K (1996) Long-term incidence of lower-extremity amputations in a diabetic population. Arch Fam Med 5: 391-398.",,,,,,,
CG10ST131,"Mueller M J, Diamond J E, Sinacore D R, Delitto A, Blair III V, Drury D, Rose S (1989) Total contact casting in treatment of diabetic planter ulcers. Controlled clinical trial. Diabetes Care 12: 38488.",,,,,,,
CG10ST132,"Mulder GD, Patt LM, Sanders L, Rosenstock J, Altman MI, Hanley ME, Duncan GW (1994) Enhanced healing of ulcers in patients with diabetes by topical treatment with glycyl- L-histidyl-L-lysine copper. Wound Repair and Regeneration 2: 25969.",,,,,,,
CG10ST133,"Murray HJ, Young MJ, Hollis S, Boulton AJM (1996) The association between callus formation, high pressures and neuropathy in diabetic foot ulceration. Diabetic Medicine 13: 97982.",,,,,,,
CG10ST134,"Muthukumarasamy MG, Sivakumar G, Manoharan G (1991) Topical phenytoin in diabetic foot ulcers. Diabetes Care 14: 90911.",,,,,,,
CG10ST135,National Service Framework for Diabetes: Standards: London Department of Health 2001 Ib ,,,,,,,
CG10ST136,"Naughton G, Mansbridge J, Gentzkow G (1997) A metabolically active human dermal replacement for the treatment of diabetic foot ulcers. Artificial Organs 21: 120310.",,,,,,,
CG10ST137,NICE: The Guideline Development Process Information for National Collaborating Centres and Guideline Development Groups (www.nice.org.uk),,,,,,,
CG10ST138,"Neil HAW, Thompson AV, Thorogood M, et al (1989) Diabetes in the elderly: the Oxford community diabetes study. Diabetic Medicine 6: 60813.",,,,,,,
CG10ST139,"New J P, MdDowell D, Burns E, Young R J, (1998) Problem of amputations in patients with newly diagnosed diabetes mellitus. Diabetes Medicine 15: 760-764.",,,,,,,
CG10ST140,Office for National Statistics (1996) Key health statistics from general practice: studies on medical and population subjects No 60. London: The Stationery Office.,,,,,,,
CG10ST141,"Ollendorf, D. A., Kotsanos, J. G., Wishner, W. J., Friedman, M., Cooper, T., Bittoni, M., & Oster, G. (1998), Potential economic benefits of lower-extremity amputation prevention strategies in diabetes""", Diabetes Care, vol. 21, no. 8," pp. 1240-1245.""",,,
CG10ST142,"III Pacaud D, Singer D, McConnell B, Yale J-F, (1999) Assessment of screening practices for peripheral neuropathy in people with diabetes. Canadian Journal of Diabetes Care 23: 21- 25.",,,,,,,
CG10ST143,"Paisley A N, Abbott C A, van Schie C H M, Boulton A J M, (2002) A comparison of the Neuropen against standard quantitative sensory-threshold measures for assessing peripheral nerve function. Diabetic Medicine 19: 400-405.",,,,,,,
CG10ST144,"Pecoraro RE, Reiber GE, Burgess EM (1990) Pathways to diabetic limb amputation: basis for prevention. Diabetes Care 13: 513.",,,,,,,
CG10ST145,"Peters E J, Lavery L A, Armstrong D G, Fleischli J G, (2001) Electric stimulation as an adjunct to heal diabetic foot ulcers: a randomized clinical trial. Arch Phys Med Rehabil 82: 721-725.",,,,,,,
CG10ST146,"Peters E J, Lavery L A, (2001) Effectiveness of the diabetic foot risk classification system of the international working group on the diabetic foot. Diabetes Care 24: 1442-1447.",,,,,,,
CG10ST147,"Pham H, Armstrong D G, Harvey C, Harkless L B, Giurini J M, Veves A, (2000) Screening techniques to identify people at high risk for diabetic foot ulceration. A prospective multicenter trial. Diabetes Care 23: 606-611.",,,,,,,
CG10ST148,"Pham HT, Exelbert L, Segal-Owens AC, Veves A, (2002) A prospective, randomized, controlled double-blind study of a moisturizer for xerosis of the feet in patients with diabetes. Ostomy Wound Management 48: 30-36.",,,,,,,
CG10ST149,"Piagessi A, Baccetti F, Rizzo L, Romanelli M, Navalesi R, Benzi L, (2001) Sodium carboxyl-methyl-cellulose dressings in the management of deep ulcerations of diabetic foot. Diabetic Medicine 18: 320-324.",,,,,,,
CG10ST150,"Pieber TR, Holler A, Siebenhofer A, Brunner GA, Semlitsch B, Schattenberg S, Zapotoczky H, Rainer W, Krejs GJ (1995) Evaluation of a structured teaching programme for Type 2 diabetes in general practice in a rural area of Austria. Diabetic Medicine 12: 34954.",,,,,,,
CG10ST151,"Pierce M, Agarwal G, Ridout D (2000) A survey of diabetes care in general practice in England and Wales British Journal of General Practice 50: 542-545.",,,,,,,
CG10ST152,Porter AMD (1982) Organisation of diabetic care. British Medical Journal 285: 1121.,,,,,,,
CG10ST153,"Ramsey, S. D., Sandhu, N., Newton, K., Reiber, G. E., Waggner, E. H., & McCullough, D.",,,,,,,
CG10ST154,"K. (1999), Incidence", outcomes," and cost of foot ulcers in patients with diabetes""", Diabetes Care, vol. 22, no. 3," pp. 382-387.""",
CG10ST155,"Reiber G E, Smith D G, Wallace C, Sullivan K, Hayes S, Vath C, Maciejewski M L, Yu O, Heagerty P J, LeMaster J, (2002) Effect of therapeutic footwear on foot reulceration in patients with diabetes. A randomized controlled trial. JAMA 287: 2552-2559",,,,,,,
CG10ST156,"Reichard P, Nilsson B-Y, Rosenqvist U (1993) The effect of long-term intensified insulin treatment on the development of microvascular complications of diabetes mellitus. New England Journal of Medicine 329: 304309.",,,,,,,
CG10ST157,"Rettig BA, Shrauger DG, Recker RR, Gallagher TF, Wiltse H (1986) A randomized study of the effects of a home diabetes education program. Diabetes Care 9: 17378.",,,,,,,
CG10ST158,"Richard J, Richard C, Daures J, Clouet S, Vannereau D, Bringer J, Rodier M, Jacob C, Comte-Bardonnet M (1995) Effect of topical basic fibroblast growth factor on the healing of chronic diabetic neuropathic ulcer of the foot. Diabetes Care 18: 6469.",,,,,,,
CG10ST159,"Rith-Najarian SJ, Stolusky T, Gohdes DM (1992) Identifying diabetic patients at high risk for lower-extremity amputation in a primary health care setting: a prospective evaluation of simple screening criteria. Diabetes Care 15: 138689.",,,,,,,
CG10ST160,"Selby PL, Young MJ, Boulton AJM (1994) Bisphosphonates: A new treatment for diabetic charcot neuroarthropathy? Diabetic Medicine 11: 2831.",,,,,,,
CG10ST161,"Shin J B, Seong Y J, Lee H J, Kim S H, Park J R, (2000) Foot screening technique in a diabetic population. J Korean Med Sci 15: 78-82.",,,,,,,
CG10ST162,"Sinclair AJ, Barnett AH (1993) Special needs of elderly diabetic patients. British Medical Journal 306: 114243.",,,,,,,
CG10ST163,"Smith S A, Murphy M E, Huschka T R, Dinneen S F, Gorman C A, Zimmerman B R, Rizza R A, Naessens J M, (1998) Impact of a diabetes electronic management system on the care of patients seen in a subspecialty diabetes clinic. Diabetes Care 21: 972-976.",,,,,,,
CG10ST164,"Smith J, (2002) Debridement of diabetic foot ulcers (Cochrane Review). The Cochrane Library 4.",,,,,,,
CG10ST165,Songer TJ (1992) The economic costs of NIDDM. Diabetes/Metabolism Reviews 8: 389 404.,,,,,,,
CG10ST166,"Sriussadaporn S, Makanandha P, Vannasaeng S, Nitiyanant W, Komoltri C, Ploybutr S, Yamwong P, Peerapatdit T, Vichayanrat, (1996) Factors associated with diabetic foot ulceration in Thailand: a case-control study. Diabetic Medicine 14: 50-56.",,,,,,,
