"Evidence statement GUID","Evidence statement","Evidence Category Code","Evidence statement subject","Set GUID"
"TA152ES20","For TLR, one individual study showed a statistically significantly better rate of TLR, at 6–9 months, with the SES (Cypher) compared with the PES (Taxus) (OR 0.56, 95% CI 0.33 to 0.93). Only one RCT had data available beyond 9 months; in this study, rates of TLR at 1 year were 5.7% for the SES (Cypher) compared with 9.0% for the PES (Taxus); the difference was not statistically significant. The Assessment Group's pooled analysis of TLR up to 9 months was statistically significant in favour of the SES (Cypher) over the PES (Taxus) (OR 0.70, 95% CI 0.51 to 0.97).","","DES versus DES","TA15201"
"TA152ES21","","","DES versus DES","TA15201"
"TA152ES22","A statistically significant reduction in TVR with the SES (Cypher) compared with the PES (Taxus) was determined from a meta-analysis of two trials at 6–9 months (OR 0.59, 95% CI 0.39 to 0.89). A reduction in the composite event rate (MACE) at 6–9 months was also statistically significant with the SES (Cypher) compared with the PES (Taxus) (OR 0.75, 95% CI 0.59 to 0.96).","","DES versus DES","TA15201"
"TA152ES23","In December 2006, following publication of data on longer-term risks associated with DES (thrombosis, MI and mortality), the FDA convened a public meeting of its Circulatory System Devices Advisory Panel to review and analyse the available data and to provide recommendations for appropriate actions to address this issue. In January 2007, the Circulatory System Devices Advisory Panel made recommendations to the FDA. The Panel stated, 'When the DES, which are indicated for use in the USA (SES [Cypher]) and (PES [Taxus]), are used in accordance with their approved indications both are associated with a small increase in stent thrombosis compared with BMS at 1 year after stent implantation; the increased risk of stent thrombosis was not associated with an increased risk of death or MI compared with BMS; and the concerns about thrombosis do not outweigh the benefits of DES compared with BMS when DES are implanted within the limits of their approved indications for use.' The FDA stated that a longer duration of antiplatelet therapy may be beneficial, and this has led to the recommendation in the PCI guideline of the American College of Cardiologists/American Heart Association (endorsed by the Society for Cardiovascular Angiography Interventions) that in patients receiving DESs the duration of clopidogrel use should be increased to 12 months. The BCIS has also recommended 12 months' use of clopidogrel in patients receiving a DES.","","Effects of DESs on the risks of thrombosis, MI and mortality","TA15201"
"TA152ES24","The Circulatory System Devices Advisory Panel also considered use of DESs in patients with more complex coronary lesions than those studied to support initial marketing approval ('off-label' use). The Panel agreed that use of DESs 'off-label' is associated with an increased risk of stent thrombosis, MI or death compared with 'on-label' use, and until more data are available DES labels (IFUs) should state that when DESs are used off-label, patient outcomes may not be the same as the results observed in the clinical trials conducted to support marketing approval. The FDA has since defined off-label use to mean the use of a medical product for treatments other than those for which the product was initially approved; or use not explicitly included in product labelling (intended use and IFU). The UK Medicines and Healthcare Products Regulatory Agency (MHRA) supports this definition of off-label use for the DESs that have been approved for use in Europe","","Effects of DESs on the risks of thrombosis, MI and mortality","TA15201"
"TA152ES25","Each DES included in this appraisal has an IFU document that lists the indications for which it can be used. The sizes of vessels (diameter and length) to be treated are stated in the majority of the IFUs, as are the specific contraindications. The FDA considers that although patients with diabetes were included in the pivotal trials, the number of patients was insufficient for either the SES (Cypher) or the PES (Taxus) to earn a specific labelled indication for people with diabetes. The UK MHRA supports the view of the FDA with regard to individuals with diabetes and only one of the DESs, the PES (Taxus), included in this appraisal has recently been specifically indicated for people with diabetes.","","Effects of DESs on the risks of thrombosis, MI and mortality","TA15201"
"TA152ES26","There were no statistically significant differences detected in death or MI between the pooled subgroups and pooled any-type DES groups. The pooled DES analysis indicated that revascularisation rates were reduced by approximately three quarters compared with BMSs, consistent across most studies of the PES (Taxus) and SESs (Cypher; Endeavor at 6–9 months). The benefits of DESs over BMSs for TLR were seen at 1 year, and this significant difference was maintained for up to 3 years. For the TVR outcome there were statistically significant differences in favour of any-type DES over BMS for most of the time points assessed.","","Summary","TA15201"
"TA152ES28","A total of 10 full economic evaluations were included in the assessment report, all of which compared an SES with a BMS, although four evaluations also included a PES. One of the evaluations was conducted in the UK; the rest were conducted in the USA, Canada or the rest of Europe. Seven evaluations used a 1-year time horizon, one used 2 years, one used 6 months and one used a patient's lifetime. Of the 10 evaluations, nine estimated that the cost of DESs incurred a price premium/difference (the difference in cost between a given BMS and the drug-eluting equivalent), which ranged from £233 to £1225. Four of the evaluations reported health outcomes in terms of quality-adjusted life years (QALYs). Three evaluations provided incremental costs per QALY for a general population, and these costs ranged from US$27,450 to Can$96,523 (approximately US$93,000). The fourth evaluation did not include a general population because subgroups were found to be too dissimilar for comparison. Two evaluations reported the incremental cost-effectiveness ratio (ICER) per repeat revascularisation avoided; one estimated it to be US$1650 over 1 year and the other estimated it to be approximately US$7000 over 2 years. The majority of evaluations concluded that DESs are more cost effective than BMSs for patients with types of arteries that have a higher risk of restenosis, although there was great disparity between evaluations, with a variety of outcomes and a range of ICERs being reported.","","Published literature","TA15202"
"TA152ES29","Only one economic study, carried out alongside the BASKET RCT, reflected clinical practice because no protocol-driven angiographic follow-up was included. This study's results suggested that, at a threshold of €7800 per MACE avoided, DESs could potentially be cost effective in the following subgroups of patients: those older than 65 years; those with more than one segment treated; those with triple-vessel disease; those with a stent length of more than 20 mm; and those with small stent diameters.","","Published literature","TA15202"
"TA152ES30","Three models were submitted by DES manufacturers.","","Manufacturers' economic models","TA15202"
"TA152ES31","The decision analytic model from Boston Scientific compared the PES (Taxus) with the equivalent BMS, for a general population and for subgroups. The incremental costs per QALY at 1 year were given as £29,587 for the overall population and £1020 for patients with diabetes. For patients with small vessels and long lesions, the PES (Taxus) was dominant (both more effective and less costly than the BMS). For the PES (Taxus) at 2 years, the incremental cost per QALY for the overall population was given as £13,394, and it was dominant for patients with small vessels and those with diabetes. The model was highly sensitive to variations in the duration of clopidogrel therapy and the average number of stents used. In the manufacturer's sensitivity analyses, when the number of stents used per procedure was increased from 1.4 to 1.7, in line with the Assessment Group's model, the estimated cost per QALY at 1 year for the overall population increased to £56,731; however, the subgroup estimates were only marginally increased. If the duration of clopidogrel therapy after DES implantation was increased from 6 to 12 months, the cost per QALY at 12 months increased to £71,634 for the total population and to over £30,000 for the subgroup with diabetes.","","Manufacturers' economic models","TA15202"
